,justice
0,H. Black
1,S. Reed
2,F. Frankfurter
3,W. Douglas
4,F. Murphy
5,J. Byrnes
6,R. Jackson
7,W. Rutledge
8,H. Burton
9,F. Vinson
10,T. Clark
11,S. Minton
12,E. Warren
13,J. Harlan
14,W. Brennan
15,C. Whittaker
16,P. Stewart
17,B. White
18,A. Goldberg
19,A. Fortas
20,T. Marshall
21,W. Burger
22,H. Blackmun
23,L. Powell
24,W. Rehnquist
25,J. Stevens
26,S. O'Connor
27,A. Scalia
28,A. Kennedy
29,D. Souter
30,C. Thomas
31,RB Ginsburg
32,S. Breyer
33,J. Roberts
34,S. Alito
35,S. Sotomayor
36,E. Kagan
37,N. Corsuch
38,B. Kavanaugh
39,AC Barrett
