,Issue 1,Issue 2,Issue 3,Issue 4,Issue 5,Issue 6,Issue 7,Issue 8,Issue 9,Issue 10,Issue 12,Issue 13,Issue 14
Judge 1,1.3,1.26,1.15,1.26,1.57,1.18,1.26,1.16,1.51,1.29,1.18,,
Judge 2,1.72,1.6,1.72,1.42,2.0,1.75,1.4,1.45,1.63,1.53,1.3,,
Judge 3,1.47,1.36,1.52,1.42,1.5,1.12,1.57,1.6,1.73,1.49,1.31,,
Judge 4,1.13,1.1,1.05,1.24,1.33,1.1,1.37,1.18,1.4,1.27,1.58,,
Judge 5,1.18,1.15,1.38,1.3,2.0,,1.28,1.16,1.46,1.5,1.12,,
Judge 6,,,,,,,,,,,,,
Judge 7,1.61,1.51,1.7,1.57,1.75,1.0,1.61,1.62,1.68,1.48,1.46,,
Judge 8,1.24,1.23,1.29,1.24,2.0,,1.38,1.14,1.4,1.33,1.17,,
Judge 9,1.68,1.5,1.64,1.48,2.0,1.5,1.51,1.49,1.68,1.53,1.29,,
Judge 10,1.69,1.55,1.75,1.49,2.0,2.0,1.66,1.41,1.66,1.48,1.27,,
Judge 11,1.63,1.42,1.63,1.27,1.5,1.38,1.36,1.28,1.64,1.42,1.26,,
Judge 12,1.69,1.59,1.73,1.41,2.0,1.75,1.42,1.39,1.73,1.44,1.29,,
Judge 13,1.22,1.16,1.22,1.17,1.0,1.27,1.29,1.19,1.54,1.23,1.21,,
Judge 14,1.6,1.54,1.58,1.34,1.33,1.31,1.46,1.62,1.7,1.41,1.3,,
Judge 15,1.24,1.17,1.16,1.24,1.41,1.15,1.34,1.3,1.58,1.33,1.29,,
Judge 16,1.56,1.45,1.62,1.35,2.0,2.0,1.59,1.63,1.66,1.44,1.39,,
Judge 17,1.5,1.47,1.34,1.42,1.62,1.26,1.43,1.53,1.67,1.4,1.33,,
Judge 18,1.64,1.43,1.55,1.51,1.84,1.58,1.38,1.4,1.64,1.34,1.15,,
Judge 19,1.17,1.05,1.08,1.2,1.0,1.0,1.38,1.31,1.56,1.38,1.24,,
Judge 20,1.19,1.15,1.19,1.0,,1.2,1.4,1.27,1.61,1.31,1.59,,
Judge 21,1.2,1.15,1.16,1.23,1.42,1.16,1.32,1.37,1.57,1.33,1.25,,
Judge 22,1.8,1.62,1.7,1.62,1.88,1.57,1.57,1.55,1.77,1.37,1.27,,
Judge 23,1.57,1.39,1.45,1.48,1.51,1.25,1.39,1.45,1.65,1.35,1.25,,
Judge 24,1.7,1.6,1.53,1.53,1.71,1.61,1.5,1.54,1.72,1.41,1.41,,
Judge 25,1.82,1.74,1.78,1.71,1.84,1.73,1.58,1.53,1.71,1.6,1.29,,
Judge 26,1.34,1.36,1.32,1.36,1.46,1.26,1.37,1.44,1.52,1.44,1.4,2.0,
Judge 27,1.74,1.58,1.58,1.6,1.61,1.71,1.59,1.53,1.61,1.51,1.41,,
Judge 28,1.72,1.7,1.7,1.65,1.76,1.6,1.69,1.54,1.67,1.48,1.31,1.5,
Judge 29,1.65,1.59,1.53,1.52,1.74,1.48,1.65,1.55,1.6,1.45,1.22,1.4,2.0
Judge 30,1.44,1.39,1.3,1.37,1.41,1.42,1.44,1.46,1.52,1.36,1.29,,
Judge 31,1.78,1.75,1.66,1.69,1.76,1.52,1.73,1.55,1.66,1.53,1.46,1.25,2.0
Judge 32,1.39,1.36,1.33,1.31,1.38,1.25,1.31,1.43,1.51,1.41,1.21,1.43,1.5
Judge 33,1.45,1.36,1.46,1.25,1.51,1.35,1.24,1.5,1.52,1.34,1.24,1.75,1.5
Judge 34,1.66,1.58,1.49,1.46,1.77,1.48,1.64,1.56,1.62,1.33,1.27,1.38,1.5
Judge 35,1.8,1.65,1.54,1.56,1.89,1.45,1.75,1.58,1.61,1.38,1.33,1.38,2.0
Judge 36,1.34,1.29,1.34,1.16,1.47,1.25,1.29,1.49,1.42,1.41,1.18,1.5,1.5
Judge 37,1.4,1.29,1.35,1.27,1.54,1.17,1.24,1.49,1.48,1.37,1.33,1.43,1.5
Judge 38,1.64,1.5,1.33,1.69,2.0,1.67,1.83,1.62,1.65,1.7,2.0,1.0,2.0
Judge 39,1.63,1.69,1.42,1.56,2.0,1.5,1.5,1.57,1.6,1.67,1.5,1.0,1.0
Judge 40,1.77,1.75,1.0,1.75,2.0,,2.0,1.73,1.62,,2.0,1.0,
